First ,Last,StreetAddress,City,State,ZipCode,Gender,Birthday,Age,Telephone Number
Patricia,Abernethy,2071 Sycamore Street,Colorado Springs,CO,80918,female,10/1/74,40,719-965-5566
Douglas,Abrams,4312 Simons Hollow Road,Colorado Springs,CO,80918,male,4/3/44,71,719-823-0687
Micheal,Allen,3720 Tully Street,Colorado Springs,CO,80918,male,9/9/57,57,719-692-8803
Elvira,Alvarado,1266 Barnes Avenue,Colorado Springs,CO,80918,female,6/9/43,72,719-648-2109
Janet,Anderson,3477 Clay Lick Road,Colorado Springs,CO,80918,female,5/25/60,55,719-870-3435
David,Anderson,1481 Coulter Lane,Colorado Springs,CO,80918,male,9/12/92,22,719-256-8875
Esther,Arnold,2150 Spadafore Drive,Colorado Springs,CO,80918,female,1/19/90,25,719-692-5069
Eric,Atkins,1632 Walton Street,Colorado Springs,CO,80918,male,1/26/63,52,719-391-2798
Mary,Atkinson,4822 Tori Lane,Colorado Springs,CO,80918,female,10/31/84,30,719-651-3488
Robert,Avery,3721 Dye Street,Colorado Springs,CO,80918,male,12/26/44,70,719-706-8299
Edward,Avila,210 Oakwood Circle,Colorado Springs,CO,80918,male,2/17/31,84,719-315-6966
Franklin,Bachman,873 Loving Acres Road,Colorado Springs,CO,80918,male,6/2/81,34,719-232-3342
William,Badgley,2564 Grasselli Street,Colorado Springs,CO,80918,male,6/15/62,53,719-366-1713
Norman,Bahr,4958 Wilkinson Street,Colorado Springs,CO,80918,male,12/14/61,53,719-491-1055
Kenneth,Bailey,1730 Stratford Park,Colorado Springs,CO,80918,male,1/7/81,34,719-791-0825
Gina,Ball,4552 Crowfield Road,Colorado Springs,CO,80918,female,2/22/83,32,719-776-9651
Susan,Bannister,3130 Poe Lane,Colorado Springs,CO,80918,female,8/14/34,80,719-495-8517
Carolyn,Barker,379 Crestview Terrace,Colorado Springs,CO,80918,female,1/11/66,49,719-739-6497
Earnest,Barros,792 Traders Alley,Colorado Springs,CO,80918,male,5/17/63,52,719-449-4315
Gus,Barry,1634 Franklin Avenue,Colorado Springs,CO,80918,male,8/16/67,47,719-865-8531
Kelly,Batchelor,396 Wayback Lane,Colorado Springs,CO,80918,female,2/20/69,46,719-392-5921
Dean,Beauchemin,2482 Caynor Circle,Colorado Springs,CO,80918,male,10/9/81,33,719-595-7905
Blanca,Beck,928 Cedar Street,Colorado Springs,CO,80918,female,4/29/40,75,719-820-5854
Julie,Bennett,3432 Single Street,Colorado Springs,CO,80918,female,10/22/39,75,719-647-5779
Ann,Bennett,3474 Eagle Lane,Colorado Springs,CO,80918,female,11/24/89,25,719-723-1864
Edward,Bergeron,3605 Browning Lane,Colorado Springs,CO,80918,male,12/30/85,29,719-225-0427
Martha,Bernal,1250 Arlington Avenue,Colorado Springs,CO,80918,female,8/24/78,36,719-980-4899
Robert,Betts,4254 University Street,Colorado Springs,CO,80918,male,6/11/40,75,719-356-9285
Kris,Boehm,805 Thompson Street,Colorado Springs,CO,80918,female,2/15/66,49,719-547-4666
Evan,Bonham,2733 Byrd Lane,Colorado Springs,CO,80918,male,2/17/72,43,719-242-7378
William,Boone,1578 Rodney Street,Colorado Springs,CO,80918,male,4/13/92,23,719-552-4630
April,Boykin,4527 Dola Mine Road,Colorado Springs,CO,80918,female,5/25/96,19,719-320-4751
Darla,Brady,2256 Short Street,Colorado Springs,CO,80918,female,9/27/69,45,719-983-9556
Diana,Branham,2907 Matthews Street,Colorado Springs,CO,80918,female,8/2/61,53,719-567-4115
William,Bray,703 Hartway Street,Colorado Springs,CO,80918,male,11/2/52,62,719-786-7596
Lawrence,Brookins,393 Reppert Coal Road,Colorado Springs,CO,80918,male,7/19/34,80,719-876-7084
Kristopher,Brown,3703 Meadow View Drive,Colorado Springs,CO,80918,male,8/14/66,48,719-547-0710
Ida,Brown,2611 Village View Drive,Colorado Springs,CO,80918,female,8/8/64,50,719-841-8970
Alice,Brown,189 Marcus Street,Colorado Springs,CO,80918,female,8/13/83,31,719-658-9234
Justina,Bruner,3499 Philli Lane,Colorado Springs,CO,80918,female,2/15/41,74,719-461-7440
